canonical_bioactive_name,meaningful_threshold_amount,meaningful_threshold_unit,meaningful_threshold_basis,meaningful_threshold_source,meaningful_review_status,supplement_threshold_amount,supplement_threshold_unit,supplement_threshold_basis,supplement_threshold_source,supplement_review_status,trace_definition,meaningful_definition,supplement_definition,notes
Casein,5,g casein protein/serving,"food-level protein contribution aligned with 10% Daily Value-style protein routing; casein-specific satiety, muscle-protein, or overnight-protein claims generally require higher matched doses","FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; International Society of Sports Nutrition protein position stand, https://pmc.ncbi.nlm.nih.gov/articles/PMC5477153/",meaningful_dose_reviewed,20,g casein protein/serving,common casein/protein powder serving threshold; assumes user-provided ambiguous 20 g value refers to casein,"NIH ODS Dietary Supplement Fact Sheet: Exercise and Athletic Performance, protein supplement context, https://ods.od.nih.gov/factsheets/ExerciseAndAthleticPerformance-HealthProfessional/; International Society of Sports Nutrition protein position stand, https://pmc.ncbi.nlm.nih.gov/articles/PMC5477153/",supplement_dose_reviewed,"< 5 g casein protein/serving; do not surface direct health-effect claims, only optional background presence language.",>= 5 g casein protein/serving and below 20 g casein protein/serving; eligible for normal food-level/naturally occurring health-effect summaries.,">= 20 g casein protein/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Assumed the ambiguous 20 g proposed value refers to Casein supplement threshold. Meaningful threshold lowered to 5 g as a food-level protein contribution; casein-specific clinical or performance claims should require matched higher dosing and matrix context. Casein allergy/intolerance routing is separate.
Chloride,230,mg/serving,10% of 2300 mg/day Daily Value and electrolyte adequacy context,"FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; National Academies sodium/chloride intake release, https://www.nationalacademies.org/news/report-sets-dietary-intake-levels-for-water-salt-and-potassium-to-maintain-health-and-reduce-chronic-disease-risk; MedlinePlus chloride in diet, https://medlineplus.gov/ency/article/002417.htm",meaningful_dose_reviewed,1000,mg/serving,10% DV for meaningful; high electrolyte/salt context,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",draft_from_reference_intake,"< 230 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 230 mg/serving and below 1000 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 1000 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Usually arrives with sodium chloride; interpret alongside sodium/salt rows when the source compound is salt.
Cholesterol,20,mg/serving,caution threshold at the boundary of FDA low-cholesterol labeling; dietary cholesterol should be kept low within healthy dietary patterns,"FDA cholesterol Nutrition Facts label PDF, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_Cholesterol_October2021.pdf; AHA dietary cholesterol science advisory, https://www.ahajournals.org/doi/10.1161/CIR.0000000000000743; Endotext diet and lipid effects, https://www.ncbi.nlm.nih.gov/books/NBK570127/",meaningful_dose_reviewed_caution,150,mg/serving,10% caution context; high-cholesterol serving context,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",draft_caution_context,"< 20 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 20 mg/serving and below 150 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 150 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 30 mg to FDA low-claim boundary. Caution-only; dietary cholesterol effects are heterogeneous and often confounded with saturated fat.
Choline,55,mg/serving,10% of 550 mg/day Daily Value and adult adequate-intake context,"NIH ODS Choline fact sheet, https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,300,mg/serving,common choline supplement territory below the 550 mg adult Daily Value but clearly above ordinary trace food contribution,"NIH ODS Choline fact sheet, https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",supplement_dose_reviewed,"< 55 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 55 mg/serving and below 300 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries.,">= 300 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Set to 300 mg as a practical supplement-dose threshold. Pregnancy/lactation, liver, and neurodevelopment effects still require matched evidence context and total daily intake review."
Chromium,3.5,ug/serving,"10% of 35 ug/day Daily Value; evidence for glycemic effects is mixed, so use as adequacy/food-level routing threshold","NIH ODS Chromium fact sheet, https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,200,ug/serving,10% DV for meaningful; common chromium supplement trial dose,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",draft_from_reference_intake,"< 3.5 ug/serving; do not surface direct health-effect claims, only optional background presence language.",>= 3.5 ug/serving and below 200 ug/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 200 ug/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Do not infer diabetes or glucose-control effects from this threshold alone; matched human evidence is required.
Cocoa flavanols,80,mg cocoa flavanols/serving,lowest human dose identified with a reported vascular flow-mediated-dilation effect in cocoa-flavanol dose-response evidence; formal EFSA/FDA claim context remains 200 mg/day,"cocoa flavanol dose-response/FMD meta-analysis, https://pubs.rsc.org/en/content/articlehtml/2019/fo/c9fo01747j; cocoa flavanol dose-response study summary noting 80 mg/day increased FMD, https://www.researchgate.net/publication/267930544_Cocoa_consumption_dose-dependently_improves_flow-mediated_dilation_and_arterial_stiffness_decreasing_blood_pressure_in_healthy_individuals; EFSA cocoa flavanols opinion, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2012.2809; FDA cocoa flavanol qualified-claim letter, https://www.fda.gov/media/165090/download",meaningful_dose_reviewed,500,mg cocoa flavanols/serving,human cocoa flavanol intervention dose context,No established FDA Daily Value found in FDA Daily Value reference table; leave amount blank for LLM/reviewer context; dose-band thresholds are draft Sipz review thresholds,needs_review,"< 80 mg cocoa flavanols/serving; do not surface direct health-effect claims, only optional background presence language.",>= 80 mg cocoa flavanols/serving and below 500 mg cocoa flavanols/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 500 mg cocoa flavanols/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 200 mg for minimum-effect routing. Use 80 mg only for low-threshold vascular/FMD context; EFSA-authorized and FDA qualified-claim contexts still use at least 200 mg/day, and cocoa/chocolate mass is not interchangeable without flavanol assay data."
Copper,0.09,mg/serving,10% of 0.9 mg/day Daily Value and adult RDA context,"NIH ODS Copper fact sheet, https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,2,mg/serving,10% DV for meaningful; high dietary/supplement caution context,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",draft_from_reference_intake,"< 0.09 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.09 mg/serving and below 2 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 2 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level adequacy threshold; high-dose copper has separate safety/caution context.
Docosahexaenoic Acid,100,mg DHA/serving,lower end of authoritative pregnancy guidance recommending an additional 100-200 mg/day DHA on top of general EPA+DHA intake; stronger birth-outcome trials often use higher doses,"NIH ODS Omega-3 Fatty Acids fact sheet, https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/; omega-3 pregnancy clinical practice guideline, https://www.ajogmfm.org/article/S2589-9333(23)00393-2/fulltext; DHA pregnancy systematic review, https://www.sciencedirect.com/science/article/pii/S0271531724000873",meaningful_dose_reviewed,200,mg DHA/serving,common DHA supplement and pregnancy-guidance territory; 20 mg is too low for supplement-level routing,"NIH ODS Omega-3 Fatty Acids fact sheet, https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/; EFSA long-chain omega-3 safety/intake context, https://www.efsa.europa.eu/en/press/news/120727",supplement_dose_reviewed,"< 100 mg DHA/serving; do not surface direct health-effect claims, only optional background presence language.",>= 100 mg DHA/serving and below 200 mg DHA/serving; eligible for normal food-level/naturally occurring health-effect summaries.,">= 200 mg DHA/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Set to 200 mg DHA rather than 20 mg. For preterm-birth, infant-outcome, omega-3-index, or triglyceride claims, require effect-specific matched dosing because many trials use higher DHA or combined EPA+DHA doses."
Erythritol,10,g erythritol/serving,lowest dose in a human dose-ranging study showing systemic erythritol absorption and erythronate formation; platelet-reactivity evidence used a higher 30 g acute dose,"FDA erythritol GRAS notice response, https://www.fda.gov/media/121983/download; FDA evaluation of erythritol article, https://www.fda.gov/media/182122/download; erythritol dose-ranging absorption/metabolism study, https://www.mdpi.com/1422-0067/23/17/9867; erythritol platelet-reactivity study, https://pubmed.ncbi.nlm.nih.gov/39114916/",meaningful_dose_reviewed_caution,30,g erythritol/serving,high-exposure/caution threshold near adult tolerance and platelet-reactivity study exposure; not a beneficial supplement target,"FDA GRAS Notice inventory for erythritol, https://www.fda.gov/food/generally-recognized-safe-gras/gras-notice-inventory; EFSA sweeteners/erythritol reassessment context, https://www.efsa.europa.eu/en/topics/topic/sweeteners; erythritol platelet-reactivity study context, https://www.nature.com/articles/s41591-023-02223-9",supplement_dose_reviewed_caution,"< 10 g erythritol/serving; do not surface direct health-effect claims, only optional background presence language.",>= 10 g erythritol/serving and below 30 g erythritol/serving; eligible for normal food-level/naturally occurring health-effect summaries.,">= 30 g erythritol/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Set to 30 g as high-exposure/caution routing, not a supplement benefit dose. GI tolerance and cardiometabolic caution depend on bolus size, body weight, beverage/food matrix, and repeated exposure."
Fat,3,g total fat/serving,lower end of the 3-5 g fat per meal range reported to support carotenoid/fat-soluble compound absorption; total fat amount alone is not inherently beneficial,"dietary factors and carotenoid bioavailability review, https://www.sciencedirect.com/science/article/pii/S0022316622139428; beta-carotene absorption review, https://pubmed.ncbi.nlm.nih.gov/12002680/; FDA total fat Daily Value PDF, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_TotalFat_October2021.pdf",meaningful_dose_reviewed,20,g/serving,macronutrient energy and fat-soluble absorption context,"FDA Daily Value on Nutrition and Supplement Facts Labels, content current 2024-03-05, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; dose-band thresholds are draft Sipz review thresholds",draft_macronutrient_context,"< 3 g total fat/serving; do not surface direct health-effect claims, only optional background presence language.",>= 3 g total fat/serving and below 20 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 20 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 4 g to the lower end of human absorption evidence. Use mainly for fat-soluble nutrient/carotenoid absorption or macronutrient context; fatty-acid composition still matters for health direction.
Fiber,2.8,g dietary fiber/serving,10% of the 28 g/day dietary fiber Daily Value; FDA-recognized fiber effects include bowel movement frequency and glucose/cholesterol effects for qualifying fibers,"FDA Dietary Fiber Nutrition Facts Label PDF, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_DietaryFiber_October2021.pdf; FDA Questions and Answers on Dietary Fiber, https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/questions-and-answers-dietary-fiber; 21 CFR 101.54 nutrient content claims, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-D/section-101.54",meaningful_dose_reviewed,3,g/serving,common fiber powder serving dose,"FDA Daily Values for dietary fiber, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; Metamucil 3 g fiber serving, https://www.metamucil.com/en-us/articles/fiber-101/how-much-fiber-do-you-need-daily; Benefiber 6 g fiber serving, https://www.benefiber.com/fiber-supplement-products/benefiber-powder/",supplement_dose_reviewed,"< 2.8 g dietary fiber/serving; do not surface direct health-effect claims, only optional background presence language.",>= 2.8 g dietary fiber/serving and below 3 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 3 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Retains 10% DV as the food-level meaningful floor. Fiber subtype matters for specific effects; use beta-glucan, soluble, insoluble, or psyllium rows when available."
Fluoride,0.17,mg fluoride/serving,approximate 8 fl oz serving exposure from optimally fluoridated water at 0.7 mg/L; dental-health context with total-exposure caution,"CDC community water fluoridation recommendation 0.7 mg/L, https://www.cdc.gov/fluoridation/about/community-water-fluoridation-recommendations.html; NIH ODS Fluoride fact sheet, https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/; DailyMed sodium fluoride supplement doses, https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=6e7a7e17-7538-4763-810c-7e56bd630494&type=display",meaningful_dose_reviewed_caution,0.25,mg/serving,common fluoride supplement amount; pediatric/dental supplementation context,"NIH ODS Fluoride, https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/; DailyMed sodium fluoride chewable tablets, https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0df8f1aa-f3ef-9f59-e063-6294a90a0666; MedlinePlus fluoride drug information, https://medlineplus.gov/druginfo/meds/a682727.html",supplement_dose_reviewed_caution,"< 0.17 mg fluoride/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.17 mg fluoride/serving and below 0.25 mg/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 0.25 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 0.2 mg to the approximate fluoride in one 8 fl oz serving of optimally fluoridated water. Non-monotonic: useful for dental caries prevention but excess total exposure can cause fluorosis.
